tag,label,count
0,ecofriendly,19
1,cleanenergy,26
2,plantpower,9
3,environmentalist,21
4,global,14
5,saveourplanet,14
6,mothernaturerocks,10
7,conservation,73
8,savetheworld,14
9,environmental,33
10,solarpower,33
11,everydayclimatechange,1736
12,pollution,77
13,savetheplanet,25
14,ecotourism,9
15,environment,211
16,climatechange,733
17,arctic,49
18,climate,153
19,renewableenergy,41
20,preservation,10
21,globalwarming,380
22,warming,10
23,endangered,11
24,renewable,21
25,eco,14
26,sustainableliving,14
27,environmentallyfriendly,9
28,motherearth,10
29,westcoast,3
30,portland,1
31,broadmag,3
32,everydayusa,4
33,istillshootfilm_official,2
34,6x6,1
35,metroimaging,3
36,oregon,5
37,pnw,2
38,mediumformat,7
39,rentalmag,6
40,kodakportra,2
41,rolleiflex,2
42,californiadrought,2
43,filmsnotdead,4
44,westcoastbestcoast,2
45,metroprint,3
46,pdx,1
47,california,17
48,analogphotography,5
49,analog,3
50,thefilmcommunity,2
51,documentaryphotography,57
52,environmentalportrait,1
53,everydayeverywhere,298
54,pacificnorthwest,3
55,fisheyelemag,2
56,kurdistan,20
57,sociallensmag,6
58,lensculture,38
59,instagram,115
60,bukan,2
61,iran,52
62,hikaricreative,88
63,roozdaily,5
64,everydayiran,46
65,middleeast,4
66,lenspersia,2
67,blackandwhitephotography,28
68,reportagespotlight,230
69,outofthephone,89
70,akasimagazine,45
71,streetphotographers,39
72,aksiine,3
73,waterwars,1
74,mulhollanddrive,1
75,hollywood,2
76,cityscape,13
77,metropolis,2
78,losangeles,1
79,hasselblad,13
80,lynchian,1
81,landscape,131
82,urbanglow,1
83,laurelcanyon,1
84,nightphotography,7
85,kaahcollective,1
86,agriculture,6
87,photojournalism,251
88,monoart,3
89,instablackandwhite,1
90,earth,52
91,myfeatureshoot,40
92,everydaykhouzestan,1
93,nikon_dslr_users,1
94,کشاورزی,1
95,one_shot_,2
96,uncoveriran,34
97,contactlens,1
98,faces_of_streets,1
99,خوزستان,1
100,documentary,198
101,lcexposure,1
102,picoftheday,42
103,streetphotography,141
104,gettyreportage,44
105,sky,35
106,mahzenphotos,1
107,ganges,3
108,river,20
109,everydayindia,94
110,water,109
111,asia,78
112,india,107
113,flood,23
114,saveourforest,5
115,saveourearth,5
116,congobasin,1
117,rainforest,17
118,drc,1
119,deforestation,51
120,actonclimate,57
121,rdc,1
122,reforestation,9
123,igers_all_americas,4
124,escobarmora,7
125,igerscolombia,4
126,latinamerica,9
127,everydaylatinamerica,124
128,mobilephotography,18
129,bogotá,1
130,everydaymacondo,14
131,ig_latinoamerica_,72
132,colombia,20
133,one__shot__,6
134,igers,11
135,igersamerica,4
136,alaska,28
137,seenandunseen,3
138,newtok,10
139,screenprinting,1
140,artofinstagram,3
141,letsgosomewhere,1
142,exploretocreate,32
143,fujifilmx_us,1
144,xt1,1
145,southamerica,19
146,rei1440project,2
147,visitsouthamerica,2
148,peru,8
149,cordillerablanca,1
150,forestfire,3
151,thegreatoutdoors,7
152,printsnotdead,1
153,landscapephotography,45
154,westcoastlife,1
155,mounthoodnationalforest,1
156,forest,20
157,landscapelovers,1
158,intothewild,1
159,liveoutdoors,2
160,outdoorprojext,1
161,wilderness,3
162,friendsinperson,81
163,cultureir,37
164,instaven,81
165,instalovenezuela,21
166,streetphotovenezuela,86
167,people_infinity,13
168,ig_color,23
169,streetcolor,20
170,streetsgrammer,25
171,elnacionalweb,6
172,photography,202
173,myspc17,58
174,life_is_street,38
175,lensculturestreets,83
176,spicollective,100
177,rmtf,83
178,ig_venezuelan_pro,87
179,urbanocity,14
180,documentaryphoto,29
181,everybodystreet,104
182,ig_venezuela,31
183,colorphotography,24
184,instavenezuela,19
185,photodocumentary,30
186,life,77
187,nature,175
188,natgeoearthday,26
189,tybitto,17
190,fire,33
191,people,49
192,dailylifeindia,26
193,indiaclicks,8
194,agameoftones,10
195,ic_nature,4
196,ngtdailyshot,16
197,jj_florals,1
198,flowerstagram,1
199,colourpop,1
200,moodygrams,9
201,skyphotography,3
202,flowers,10
203,artofvisuals,14
204,summer,36
205,ic_trees,1
206,jj_light,1
207,nikonphotography,5
208,igersofindia,7
209,lonelyplanetindia,6
210,rsa_light,3
211,india_ig,6
212,naturephotography,28
213,bloomseason,1
214,indiaphotoproject,27
215,infamous_family,1
216,rsa_flowers,1
217,isaweverydayclimatechange,1
218,outdoorexhibition,4
219,objectifs,5
220,bushburning,1
221,enviroment,12
222,northernghana,3
223,farming,11
224,hunting,1
225,ghana,15
226,everydaypeople,1
227,zinyange,1
228,seed,1
229,everydayzimbabwe,1
230,everydayafrica,86
231,umzingwane,1
232,positivetalk,1
233,himalayas,6
234,zanskar,1
235,climatechangeisreal,179
236,keepborneowild,1
237,sargazo,1
238,leonardodicaprio,22
239,drought,110
240,amazonwatch,3
241,greenpeace,53
242,maasai,6
243,unfccc,3
244,tansania,7
245,wwf,26
246,350org,8
247,janegoodallinstitute,3
248,janegoodall,3
249,afrika,6
250,aceh,34
251,streetphoto,6
252,1000kata,63
253,dailylife,126
254,pewartafotoindonesia,58
255,creativeimagemagazine,40
256,indonesia,66
257,boukan,13
258,dryseason,2
259,fulani,1
260,volta,1
261,cielo,1
262,heaven,4
263,micalidoscopio,2
264,cali,5
265,climateimpacts,1
266,everyday,3
267,belize,1
268,forestproject,3
269,saverainforest,3
270,sukuanakdalam,3
271,orangrimba,3
272,tokyo,5
273,extremeweather,5
274,japan,6
275,photoreportage,55
276,marcha,23
277,agenciazur,25
278,streetphotographer,71
279,caracas,67
280,ciudad_ve,37
281,fotoperiodismo,25
282,venezuela,74
283,ig_caracas_,55
284,hub_ve,71
285,ccs_entrecalles,55
286,labellalibertad,55
287,ccs,51
288,photojournalist,82
289,street_people,45
290,oposicion,22
291,10a,7
292,fotografia,43
293,love,24
294,earthlovers,1
295,instadaily,27
296,sun,26
297,instagood,49
298,green,32
299,veganlove,1
300,liveauthentic,18
301,fruits,1
302,learnfromthebest,1
303,livefolk,2
304,greenyourlife,1
305,nofilter,9
306,breathelife,1
307,ourplanetdaily,38
308,veggie,3
309,climateaction,45
310,veganrecipes,1
311,beauty,11
312,trashisfortossers,1
313,veganfit,1
314,savemoney,1
315,work,6
316,ismail,1
317,buffalo,1
318,train,2
319,plan,1
320,hugs,1
321,spring,15
322,animal,7
323,ecoschoolcamp,1
324,sustainabledevelopmentgoals,1
325,africa,37
326,researchdevelopment,1
327,ecology,55
328,kumasi,2
329,tamale,2
330,ecoschools,5
331,accra,7
332,akosombo,4
333,ecoschoolsresearchcamp,1
334,globalcitizen,1
335,curricula,1
336,sdg,6
337,tema,1
338,globalgoals,3
339,gasmask,2
340,masked,2
341,ecological,3
342,nodapl,8
343,wanderlust,30
344,noonecanseeyoucrybehindthemask,1
345,mask,5
346,cree,1
347,postapocalyptic,1
348,ecowarrior,2
349,inspirational,2
350,digitalnomad,2
351,travellingphotographer,2
352,ecologicalawareness,2
353,surrendertonature,1
354,natgeo,140
355,indiafellow,4
356,outdoorjournal,1
357,icestupaartificialglacier,4
358,indiaphotostory,2
359,ladakh,4
360,neverstopexploring,18
361,volunteer,33
362,getoutside,6
363,outdoor,2
364,explore,9
365,earthpix,11
366,travelphotography,55
367,incredibleindia,8
368,camp4pix,4
369,travelgram,33
370,glacier,19
371,noorimages,2
372,dailyphoto,17
373,1415mobilephotographers,41
374,helloicp,34
375,1415mp,34
376,streetlife_award,34
377,medailylife,44
378,phmuseum,33
379,everydayazb,35
380,tabriz,32
381,myfeatureshot,36
382,everydaymiddleeast,95
383,burnmagazine,40
384,everydaybakhish,24
385,ig_persia,34
386,routinism,34
387,everydaytabriz,34
388,bnw_planet,46
389,1415iran,36
390,uspiran,36
391,storiesthatmatter,9
392,regrann,16
393,cityfarming,4
394,rice,4
395,somalia,34
396,handsinframe,3
397,womenphotojournalism,23
398,holdinghands,2
399,thatsdarling,3
400,lenscultureportraits,21
401,acolorstory,24
402,visualsgang,2
403,justbackfrom,42
404,somaliland,43
405,mycanon,49
406,canonphotos,48
407,hiking,9
408,wanderer,7
409,instagramers,8
410,clean,3
411,minimalism,5
412,wildlife,18
413,reasontoroam,2
414,beachsurf,6
415,standupagainstpollution,6
416,canon_photos,14
417,mysummerlookslike,6
418,afterlight,2
419,like,31
420,plastic,12
421,igmasters,11
422,recycle,22
423,aussie,6
424,naturevictoria,6
425,minimalist,2
426,candyminimal,2
427,findyourpark,2
428,glaciernationalpark,1
429,nps,1
430,rockymountains,2
431,usgs,1
432,repost,111
433,aminbayani,2
434,urmialake,1
435,revue6mois,1
436,6mois,1
437,womensrights,2
438,bangladesh,35
439,womenandgirls,3
440,waterislife,28
441,caspianseaproject,9
442,documentryphotography,9
443,socialmedia,9
444,bnw_life,12
445,gilan,1
446,socialissues,10
447,everydayasia,57
448,contemporaryissues,9
449,everydayrussia,9
450,caspiansea,10
451,bnw,46
452,hawraman,1
453,dceff,1
454,mining,7
455,globalhealth,2
456,tomtomfest,1
457,viiphoto,1
458,riverofgold,2
459,christina,8
460,canonphoto,11
461,cairo,39
462,black,13
463,man,10
464,blackwhite,12
465,natgeotravel,65
466,photooftheday,119
467,everydaycairo,56
468,christmas,9
469,christians,8
470,everydayegypt,58
471,blackandwhite,54
472,blackandgrey,12
473,egypt,51
474,dailynewsegypt,14
475,climatechangephilippines,3
476,storyportrait,1
477,girlpower,2
478,colorcrush,14
479,portrait,46
480,portraitphotography,21
481,postmoreportraits,1
482,dametraveler,3
483,girlfriends,1
484,commontable,1
485,feedfeed,1
486,ig_world_colors,1
487,8abril,7
488,pristina,2
489,prishtina,2
490,clouds,19
491,kosovocoal,2
492,kosovo,6
493,air,6
494,solidarityforkendeng,5
495,sol,1
496,manizales,1
497,miravfotoperiodismo,1
498,mirav,1
499,exhibition,11
500,singapore,11
501,kashmir,4
502,eyeem,1
503,treeism,1
504,seeyanever,1
505,cnnireport,1
506,resourcemag,1
507,gogreen,21
508,yourshotphtogrpher,1
509,ajeinpictures,8
510,treeoflife,2
511,huffpostgram,1
512,huffpostravel,1
513,psa_photo,1
514,guardiantravelsnaps,2
515,weareexplorers,13
516,sustainable,37
517,lifeofadventure,14
518,travel,138
519,borneo,20
520,offthegrid,13
521,vlog,11
522,kalimantan,18
523,happy,10
524,startwith1thing,18
525,tanjungputing,18
526,natgeowild,23
527,rensta,1
528,environmentalism,9
529,discover,1
530,amazon,18
531,amazondeforestation,6
532,fact,1
533,brazil,12
534,viaggio,1
535,amapa,3
536,tourist,1
537,amazonrainforest,12
538,trees,44
539,6abril,5
540,api,2
541,parasites,2
542,magnoliatree,1
543,animals,10
544,pesticides,2
545,profumodiprimavera,2
546,honey,2
547,capturethemoment,2
548,flyaway,2
549,figtree,2
550,springisintheair,2
551,yourshotphotographer,35
552,capturedmoment,3
553,inquinamento,2
554,primavera,2
555,peonies,1
556,wisteria,1
557,honeybee,2
558,colorshots,2
559,quincetree,1
560,pollination,2
561,bees,2
562,streetphotos,2
563,tedgrambeau,72
564,opensociety,4
565,slugsaver,8
566,sculpey,8
567,slugsavers,8
568,handmade,28
569,actnow,13
570,pinkslug,8
571,thepinkslug,8
572,kaputar,8
573,norway,12
574,streetart,10
575,abajoladictadura,2
576,demandclimateaction,1
577,tropicice,7
578,placesofclimatechangeindialog,7
579,serengeti,2
580,photo,72
581,adventureisoutthere,3
582,frozenplanet,3
583,norge,3
584,igersarctic,4
585,millennium_images,3
586,ice,20
587,svalbard,16
588,adventure,5
589,mountains,20
590,photographer,14
591,igerssvalbard,3
592,cold,9
593,spitsbergen,16
594,polar,13
595,ig_svalbard,3
596,malindi,1
597,tbt,36
